setting,episode,trace_episode,seed,success,trace_success,failure_stage,steps_logged,initial_open_left_m,initial_open_right_m,max_open_left_m,max_open_right_m,max_fork_lift_m,max_spoon_lift_m,min_left_link6_to_fork_m,min_right_link6_to_spoon_m,max_target_streak,final_fork_target_xy_error_m,final_spoon_target_xy_error_m
clear,16,15,243580376,True,True,success,180,1.0844271969290276e-07,4.106426843009103e-08,0.049467358738183975,0.050290897488594055,0.10316729545593262,0.10705447196960449,0.1372547447681427,0.13720367848873138,12,0.018663406922375243,0.002279425634489932
clear,17,16,1991416408,True,True,success,190,7.419851755230411e-08,-4.312228085723291e-08,0.04998283460736275,0.049703676253557205,0.09255516529083252,0.10481482744216919,0.13854306936264038,0.13825763761997223,10,0.034459600742269954,0.013791635648884847
clear,18,17,1171049868,True,True,success,140,7.385672802229237e-07,6.458822667809727e-07,0.04955245181918144,0.05055062845349312,0.10513824224472046,0.099509596824646,0.1384984254837036,0.13266588747501373,7,0.0020452475431848647,0.006086210514653818
clear,19,18,1646868794,True,True,success,160,-1.1680164391236758e-07,-5.4937508764396625e-08,0.04996294528245926,0.04988536611199379,0.105746328830719,0.10651373863220215,0.1355767548084259,0.13788233697414398,13,0.010368132205121863,0.0019683242889165405
clear,20,19,2051556033,True,True,success,160,7.037492082417884e-07,1.146580643762718e-06,0.049943707883358,0.04995204135775566,0.10647475719451904,0.1084984540939331,0.1373027265071869,0.1377277970314026,5,0.01041344708884699,0.0057818458013818
random,1,0,209652396,False,False,both_lifted_but_not_placed,361,0.04522573575377464,-1.5743171388749033e-07,0.049999527633190155,0.04999856650829315,0.03519165515899658,0.08259928226470947,0.1489322930574417,0.1225605309009552,0,0.09638484942220027,0.0389156092695659
random,2,1,398764591,True,True,success,160,2.194266954802515e-07,-2.593136549933206e-08,0.04999388009309769,0.049972523003816605,0.1021268367767334,0.10720878839492798,0.13921169936656952,0.1378878504037857,13,0.020734047492803335,0.0007717331047556379
random,3,2,924231285,False,False,target_unstable_or_dropped,361,0.021182730793952942,-1.0626004609548545e-07,0.05000126734375954,0.049998968839645386,0.10488182306289673,0.06834638118743896,0.1378508061170578,0.10291478782892227,1,0.007220981192164179,0.04956033864788004
random,4,3,1478610112,True,True,success,140,0.013156929053366184,2.3615750421868142e-07,0.05127200484275818,0.04989996179938316,0.10422086715698242,0.10689914226531982,0.1390479952096939,0.1397230178117752,9,0.0011549212235673555,0.01614822735373373
random,5,4,441365315,True,True,success,140,1.4110008805801044e-07,-3.8784418165960233e-07,0.04979751631617546,0.049999039620161057,0.10438233613967896,0.10725921392440796,0.13750271499156952,0.13845527172088623,11,0.008730749231952701,0.008760851277810285
random,6,5,1537364731,True,True,success,170,-1.8106717902810487e-07,6.280855018303555e-07,0.049649350345134735,0.04980757087469101,0.10474652051925659,0.10602462291717529,0.1383855938911438,0.13742679357528687,9,0.011862149740828698,0.005262592057187998
random,7,6,192771779,True,True,success,140,0.017880238592624664,5.3980635073003214e-08,0.049999795854091644,0.0499996580183506,0.10111808776855469,0.07347732782363892,0.13918955624103546,0.14238275587558746,13,0.018814924663088827,0.01341037000348421
random,8,7,1491434855,True,True,success,140,0.026150347664952278,-1.231087622954874e-07,0.049829982221126556,0.04999907314777374,0.10377460718154907,0.04581248760223389,0.1368451863527298,0.13861170411109924,8,0.0037586056268886763,0.012404501352594535
random,9,8,1819583497,False,False,fork_not_lifted,361,0.03193982318043709,2.2271252930750052e-07,0.049995265901088715,0.049998939037323,0.0,0.07536429166793823,0.2027786374092102,0.14381438493728638,0,0.1363249231664373,0.015269833276668405
random,10,9,530702035,True,True,success,150,0.0025048558600246906,3.344454171383404e-07,0.04975222423672676,0.05185834690928459,0.10470819473266602,0.10726523399353027,0.14017054438591003,0.13781318068504333,13,0.013498409662917632,0.0017359509194309604
random,11,10,626610453,False,False,open_but_no_effective_grasp,361,0.031095242127776146,1.298211032008112e-06,0.05001284182071686,0.050026655197143555,0.0,0.0,0.1535777449607849,0.15254820883274078,0,0.12105229421762259,0.0035584761292412692
random,12,11,1650906866,True,False,success,160,-2.1238549834379228e-06,-1.0690874319152499e-07,0.04984573274850845,0.049738798290491104,0.1034194827079773,0.09696966409683228,0.13850277662277222,0.1381240040063858,4,0.020455021067804946,0.003978157987242406
random,13,12,1879422756,True,True,success,150,3.5264466902162894e-08,-7.710961114071324e-08,0.05151110514998436,0.04988887161016464,0.10500460863113403,0.10672950744628906,0.1384197622537613,0.13807985186576843,12,0.0008402312513929224,0.00901356906949019
random,14,13,1277901399,True,True,success,140,0.031271081417798996,4.914136866318586e-07,0.0500040203332901,0.049972862005233765,0.10190874338150024,0.10357493162155151,0.13839758932590485,0.13944898545742035,7,0.014724209343305275,0.013983875114167502
random,15,14,1682652230,True,True,success,140,-2.0548684460663935e-06,-3.014831975178822e-07,0.04981289431452751,0.04969364032149315,0.09957218170166016,0.10669082403182983,0.13989025354385376,0.1393335461616516,10,0.021849126328064853,0.010933497910609952
random,16,15,243580376,True,True,success,140,0.015153004787862301,-3.6042106899003556e-07,0.05212143063545227,0.04978346824645996,0.10456883907318115,0.1062973141670227,0.13749730587005615,0.13805299997329712,7,0.0004807819218661648,0.00046363878956745454
random,17,16,1991416408,True,True,success,140,2.2604248783864023e-07,1.516300329740261e-08,0.049345120787620544,0.049492139369249344,0.10595178604125977,0.10569262504577637,0.13812173902988434,0.13850148022174835,10,0.011836440233765918,0.006996134368313984
random,18,17,1171049868,True,True,success,150,0.04991518706083298,1.6074653785835835e-07,0.049972500652074814,0.04984622076153755,0.10567790269851685,0.08857417106628418,0.13754361867904663,0.14142435789108276,10,0.011567985540753159,0.03199879974503169
random,19,18,1646868794,True,True,success,140,-7.974963978085725e-07,2.0765367025887826e-06,0.049829866737127304,0.04994853958487511,0.10568279027938843,0.10773676633834839,0.13754457235336304,0.1382685750722885,7,0.009400326768017922,0.010361319363396264
random,20,19,2051556033,False,False,spoon_not_lifted,361,0.013673198409378529,2.136474535063826e-07,0.05001067370176315,0.05218583345413208,0.10456085205078125,0.0,0.13608162105083466,0.1664789766073227,0,0.012926879946630197,0.14181050194278333
